feature,GradientBoosting,RandomForest,XGBoost
B,0.17261592650135357,0.16491608818027728,0.21322222741535768
H,0.17425956579347432,0.18990998154993344,0.16618671992719267
depth,0.22982786036106598,0.20197518910481294,0.17564371936251996
pga,0.22185934181395864,0.16967985268803615,0.17343384111382407
q,0.07600621861191934,0.15508670985847645,0.09018056304911871
thickness,0.12543108691822813,0.11843217861846392,0.18133292913198698
