model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
RandomForest,0.9863945578231292,0.9889567669172933,0.9861111111111112,0.9872715572715572,0.9866950539614341,0.9863945578231292,0.9862761887251683
XGBoost,0.9863945578231292,0.9864766081871346,0.9885101010101011,0.9874286442405709,0.9865735767991408,0.9863945578231292,0.9864087041544447
GradientBoosting,0.673469387755102,0.696439082462424,0.608518686150265,0.6277928809046199,0.6873984196170088,0.673469387755102,0.6576416743951677
NeuralNetwork,0.6190476190476191,0.7118406285072951,0.5294682242050663,0.5355583142347848,0.663773028852394,0.6190476190476191,0.5899188246727262
