model,Fig8_auc_class_0,Fig8_auc_class_1,Fig8_auc_class_2,Fig8_auc_class_3,Fig8_auc_macro_mean_per_class,Fig9_auc_class_0,Fig9_auc_class_1,Fig9_auc_class_2,Fig9_auc_class_3,Fig9_auc_macro_mean_per_class
RandomForest,0.8333333333333334,0.7460317460317459,0.45625000000000004,0.7950310559006212,0.7076615338164252,0.8373015873015873,0.6626984126984127,0.4375,0.8136645962732919,0.687791149068323
XGBoost,0.8293650793650793,0.6825396825396826,0.4375,0.7391304347826086,0.6721337991718426,0.8571428571428572,0.6825396825396826,0.375,0.7732919254658385,0.6719936162870945
GradientBoosting,0.8412698412698413,0.6785714285714286,0.39375,0.8695652173913043,0.6957891218081436,0.7976190476190477,0.7142857142857142,0.49374999999999997,0.7701863354037266,0.693960274327122
NeuralNetwork,0.7817460317460317,0.6071428571428572,0.59375,0.9006211180124224,0.7208150017253279,0.6825396825396826,0.5912698412698412,0.40625,0.8633540372670807,0.6358533902691511
