model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
RandomForest,0.9115646258503401,0.9123459873459874,0.9198812448812449,0.914488678364637,0.9161357916459958,0.9115646258503401,0.9122120826311996
XGBoost,0.9863945578231292,0.9864766081871346,0.9885101010101011,0.9874286442405709,0.9865735767991408,0.9863945578231292,0.9864087041544447
GradientBoosting,0.9251700680272109,0.9218253968253969,0.9255330689541216,0.9233367983367984,0.9251700680272109,0.9251700680272109,0.924890353461782
NeuralNetwork,0.5850340136054422,0.5588541666666667,0.565004418293892,0.5535809648445137,0.6172477324263037,0.5850340136054422,0.5956541725840807
