model	accuracy	macro_precision	macro_recall	macro_f1	weighted_f1	macro_auc_ovr	recall_class_2	recall_class_3	best_hyperparameters
RandomForest	0.2702702702702703	0.23958333333333331	0.21825396825396826	0.22044683257918551	0.26516448575272106	0.5892317977915804	0.0	0.42857142857142855	class_weight=None, max_depth=None, min_samples_leaf=2, min_samples_split=5, n_estimators=200
XGBoost	0.3783783783783784	0.29188948306595364	0.30952380952380953	0.2956989247311828	0.3574542284219704	0.6656422532781229	0.0	0.5714285714285714	colsample_bytree=1.0, learning_rate=0.05, max_depth=3, n_estimators=200, subsample=1.0
GradientBoosting	0.32432432432432434	0.24812030075187969	0.25396825396825395	0.24621212121212122	0.30507780507780513	0.6256707211870255	0.0	0.5714285714285714	learning_rate=0.05, max_depth=2, n_estimators=200, subsample=1.0
NeuralNetwork	0.4594594594594595	0.4764705882352941	0.4198412698412698	0.3594574780058651	0.4219307283823413	0.6546508367839889	0.6	0.8571428571428571	alpha=0.0001, hidden_layer_sizes=(128, 64), learning_rate_init=0.01
Ensemble	0.35135135135135137	0.275	0.28174603174603174	0.2710084033613446	0.3272768566886214	0.6396415631469979	0.0	0.5714285714285714	soft vote of tuned RF/XGB/GB (see above)
