model,outlier_method,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,cv_recall_macro_best
Ensemble,IQR,0.9727891156462585,0.9672297297297296,0.9772078897078897,0.9719293846006175,0.9734969663541093,0.9727891156462585,0.972890135642908,
GradientBoosting,IQR,0.9251700680272109,0.9218253968253969,0.9255330689541216,0.9233367983367984,0.9251700680272109,0.9251700680272109,0.924890353461782,0.4711038961038961
NeuralNetwork,IQR,0.5850340136054422,0.5588541666666667,0.565004418293892,0.5535809648445137,0.6172477324263037,0.5850340136054422,0.5956541725840807,0.37892316017316013
RandomForest,IQR,0.9115646258503401,0.9123459873459874,0.9198812448812449,0.914488678364637,0.9161357916459958,0.9115646258503401,0.9122120826311996,0.5080898268398268
XGBoost,IQR,0.9863945578231292,0.9864766081871346,0.9885101010101011,0.9874286442405709,0.9865735767991408,0.9863945578231292,0.9864087041544447,0.5155303030303029
