model,outlier_method,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,cv_recall_macro_best
Ensemble,Winsorized,0.9727891156462585,0.9690549315549316,0.9748088998088998,0.9717241520058422,0.9729348882410105,0.9727891156462585,0.9727326105595722,
GradientBoosting,Winsorized,0.8503401360544217,0.8458375230434054,0.8506907625328679,0.8477945481204776,0.8526185972964686,0.8503401360544217,0.8510723048361377,0.4613636363636363
NeuralNetwork,Winsorized,0.673469387755102,0.6722802942315138,0.7020728264149316,0.6644313751111431,0.7188847277199691,0.673469387755102,0.6796812621186702,0.41691017316017315
RandomForest,Winsorized,0.9115646258503401,0.9123459873459874,0.9198812448812449,0.914488678364637,0.9161357916459958,0.9115646258503401,0.9122120826311996,0.5005140692640693
XGBoost,Winsorized,0.9863945578231292,0.9864766081871346,0.9885101010101011,0.9874286442405709,0.9865735767991408,0.9863945578231292,0.9864087041544447,0.49350649350649345
