model,outlier_method,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,cv_recall_macro_best
Ensemble,Z-Score,0.9727891156462585,0.9672297297297296,0.9772078897078897,0.9719293846006175,0.9734969663541093,0.9727891156462585,0.972890135642908,
GradientBoosting,Z-Score,0.8299319727891157,0.8352752475963277,0.831881043723149,0.8291953304148426,0.8416739572283768,0.8299319727891157,0.8314870830550274,0.46804653679653685
NeuralNetwork,Z-Score,0.6530612244897959,0.6475256090808417,0.6673971220023851,0.6431945620595765,0.6899638205226719,0.6530612244897959,0.660566452143119,0.43487554112554105
RandomForest,Z-Score,0.9183673469387755,0.9179505573336276,0.9268256893256893,0.9212847899763787,0.9217602988662632,0.9183673469387755,0.9189445686870826,0.48882575757575764
XGBoost,Z-Score,0.9863945578231292,0.9889567669172933,0.9861111111111112,0.9872715572715572,0.9866950539614341,0.9863945578231292,0.9862761887251683,0.49767316017316016
